Date,BUGZ,BURZ,CABN,CABZ,CRWZ,DONZ,FNGZ,GRNZ,PI2Z,PIEZ,PPOE,PPON,PPOZ,QADZ,UBOZ,Station Count
1991-11-10,1.0,False,1.0,1.0,1.0,1.0,1.0,False,1.0,False,False,False,False,1.0,False,8.0
1991-11-11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1991-11-12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1991-11-13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1991-11-14,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-15,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-16,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-17,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-18,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-19,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-20,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-21,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-22,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-23,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-24,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-25,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-26,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-27,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-28,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-29,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-11-30,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-12-01,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-12-02,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-12-03,False,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,6.0
1991-12-04,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1991-12-05,1.0,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,7.0
1991-12-06,False,False,1.0,1.0,1.0,False,1.0,False,1.0,False,False,False,False,1.0,False,6.0
